candidate_id	venue_name	possible_city	possible_neighborhood	possible_address	claimed_karaoke_day	claimed_karaoke_time	host_kj_name	source_url	source_type	evidence_snippet	confidence_score	confidence_level	review_status	scout_notes	duplicate_of	instagram_handle	facebook_url	venue_website	phone	email	premium_prospect
sd-scout-001	710 Beach Club	San Diego	Pacific Beach	710 Garnet Ave, San Diego	Thursday	8 PM-12 AM	Rotating KJs	https://www.710bc.com/	venue_website	Existing SingHUB source data indicates weekly Thursday karaoke at 710 Beach Club. Verify current schedule and host before public trust upgrade.	95	verified	confirmed	Stage One candidate from existing San Diego Scout source merge. Strong premium prospect.				https://www.710bc.com/			true
sd-scout-002	Henry's Pub	San Diego	Gaslamp Quarter	618 Fifth Ave, San Diego	Sunday, Monday, Tuesday	9 PM-close	JP Martinez	https://www.henryspub.com/	venue_website	Existing SingHUB source data indicates karaoke multiple nights weekly. Verify current schedule with venue before premium pitch.	95	verified	confirmed	Multiple schedule rows found in existing event data. Strong Gaslamp premium prospect.				https://www.henryspub.com/			true
sd-scout-003	The Lamplighter	San Diego	Hillcrest / Mission Hills	817 W Washington St, San Diego	Daily	9:15 PM plus venue hours	In-house DJs	https://www.thelamplightersd.com/	venue_website	Existing SingHUB source data indicates iconic nightly karaoke. Verify current nightly details, KJ lineup, and premium profile opportunity.	95	verified	confirmed	High-priority anchor venue. Existing data includes phone and multiple source references.				https://www.thelamplightersd.com/	(619) 298-3624		true
sd-scout-004	Gaslamplighter	San Diego	Gaslamp Quarter	536 Market St, San Diego	Tuesday-Sunday	9 PM-close	Heaven Downtown and team	https://www.instagram.com/gaslamplighter	social_instagram	Existing source data indicates karaoke Tuesday through Sunday with social evidence. Needs manual Instagram review and venue verification.	90	high	needs_ig_review	Strong premium prospect, but social details should be manually reviewed before public upgrade.		@gaslamplighter		https://www.gaslamplighter.com/	(619) 298-3624		true
sd-scout-005	Carriage House	San Diego	Convoy / Kearny Mesa	4690 Convoy St, San Diego	Daily	8 PM-close	Sir Lou and others	https://www.instagram.com/theholesd	social_instagram	Existing source data indicates nightly karaoke at a Convoy dive bar. Confirm current branding, address, and KJ schedule before upgrading.	90	high	needs_ig_review	Likely active. Needs manual IG and phone verification.		@theholesd			(858) 278-2597		true
sd-scout-006	HIVE Karaoke	San Diego	Kearny Mesa / Convoy	4428 Convoy St #100, San Diego	Daily	4 PM-12 AM / 4 PM-2 AM			uploaded_sheet	Existing source data indicates private room karaoke daily. This may be KTV/private-room rather than public stage karaoke.	90	high	confirmed	Good listing, but classify separately from public hosted karaoke nights.					(858) 576-0700		true
sd-scout-007	Melody Karaoke & Cafe	San Diego	Kearny Mesa / Convoy	4344 Convoy St, San Diego	Daily	Needs review			uploaded_sheet	Existing source data indicates private karaoke rooms and cafe-style KTV. Verify hours, booking process, and public/private classification.	90	high	needs_review	Useful for Venue Index, but likely private-room category.		@melodykaraokecafe			(858) 292-1689		true
sd-scout-008	Deano's Pub	La Mesa	East County	5286 Baltimore Dr, La Mesa	Wednesday	8 PM-close	DJ Smash		uploaded_sheet	Existing source data indicates Wednesday karaoke hosted by DJ Smash. Verify current weekly recurrence and host.	90	high	needs_call	East County premium or basic listing candidate.					(619) 469-9877		true
sd-scout-009	Dock's Cocktail Lounge	Chula Vista	Downtown Chula Vista	317 3rd Ave, Chula Vista	Friday, Saturday	Needs review	Karaoke Kult		uploaded_sheet	Existing source data indicates bilingual karaoke Friday and Saturday. Verify venue schedule, KJ team, and social presence.	90	high	needs_call	Strong South Bay prospect. Needs direct confirmation.							true
sd-scout-010	Main Tap Tavern	El Cajon	East County	518 E Main St, El Cajon	Friday, Saturday	9 PM-close	KJ Jester		uploaded_sheet	Existing source data indicates weekend karaoke. Verify schedule and KJ details before public trust upgrade.	90	high	needs_call	Strong East County weekend candidate.					(619) 749-6468		true
